Date,Rainfall_mm,Runoff_Volume_m3,Peak_Flow_m3s,Duration_h,Waterlogging_Depth_cm,Soil_Moisture_pct,Infiltration_Rate_mm_h,Impervious_Surface_pct,Drainage_Density_km_km2,Observed_Runoff_m3s,Predicted_Runoff_m3s,Forecast_Error_pct
2023-01-01 00:00:00,11.97,102.45,0.417,5,1.28,28.97,38.87,53.21,0.603,0.877,0.794,-9.46
2023-01-01 01:00:00,7.47,297.53,1.855,5,9.75,13.19,34.65,37.46,0.475,1.984,2.03,2.32
2023-01-01 02:00:00,6.91,235.6,1.661,6,9.8,33.76,15.84,35.86,0.615,0.102,0.1,-1.96
2023-01-01 03:00:00,6.91,528.88,0.773,7,14.34,35.38,11.87,12.15,0.443,0.475,0.515,8.42
2023-01-01 04:00:00,23.25,95.94,1.346,7,0.05,43.78,24.18,41.39,0.582,0.458,0.458,0.0
2023-01-01 05:00:00,14.33,166.12,1.121,1,3.72,19.11,20.86,21.05,0.495,1.463,1.524,4.17
2023-01-01 06:00:00,5.66,463.86,1.387,6,13.92,10.65,35.72,68.51,0.723,0.77,0.727,-5.58
2023-01-01 07:00:00,12.35,78.21,1.397,1,13.98,29.1,8.5,56.78,0.362,0.969,1.02,5.26
2023-01-01 08:00:00,9.99,320.89,1.295,5,10.81,34.74,14.02,31.84,1.188,0.382,0.399,4.45
2023-01-01 09:00:00,1.08,293.16,0.606,4,11.49,37.66,31.31,14.84,0.651,0.869,0.939,8.06
2023-01-01 10:00:00,3.36,233.92,0.174,2,1.37,16.78,8.32,56.05,0.314,0.296,0.268,-9.46
2023-01-01 11:00:00,10.53,267.01,0.966,2,7.71,19.16,16.23,12.93,0.625,1.113,1.101,-1.08
2023-01-01 12:00:00,21.83,341.47,1.793,1,3.47,27.94,18.55,17.31,1.053,0.286,0.296,3.5
2023-01-01 13:00:00,6.96,138.75,1.182,7,2.72,21.57,26.79,18.75,0.124,1.602,1.472,-8.11
2023-01-01 14:00:00,5.29,364.6,1.682,5,12.15,40.12,10.53,41.2,0.848,1.177,1.156,-1.78
2023-01-01 15:00:00,9.07,492.99,1.984,3,2.03,26.58,35.12,56.16,0.703,1.476,1.607,8.88
2023-01-01 16:00:00,5.03,468.09,0.411,3,7.03,37.99,20.66,25.43,0.287,0.895,0.884,-1.23
2023-01-01 17:00:00,6.59,134.64,1.414,2,14.08,30.32,37.1,10.5,0.999,0.825,0.905,9.7
2023-01-01 18:00:00,8.25,132.09,1.381,4,2.79,37.06,21.38,35.2,0.506,0.287,0.262,-8.71
2023-01-01 19:00:00,3.2,197.5,1.962,2,14.67,21.64,14.63,53.63,0.423,1.095,1.143,4.38
2023-01-01 20:00:00,14.85,248.59,1.973,1,14.91,39.1,9.96,19.41,1.011,1.078,1.095,1.58
2023-01-01 21:00:00,2.68,274.65,1.405,4,8.33,19.61,5.13,19.3,0.802,0.989,0.989,0.0
2023-01-01 22:00:00,2.36,423.83,0.563,3,2.55,29.11,23.63,66.57,1.088,1.507,1.649,9.42
2023-01-01 23:00:00,9.67,81.17,1.617,7,4.74,17.49,8.75,67.02,0.793,1.682,1.557,-7.43
2023-01-02 00:00:00,14.07,69.07,0.303,5,6.37,26.64,18.71,69.38,0.915,1.527,1.648,7.92
2023-01-02 01:00:00,9.49,265.55,1.583,5,4.64,21.14,25.62,57.5,1.02,0.373,0.387,3.75
2023-01-02 02:00:00,7.61,433.44,1.829,1,4.21,19.33,14.65,17.23,0.16,1.282,1.22,-4.84
2023-01-02 03:00:00,6.54,156.39,0.827,2,14.58,43.84,11.13,18.78,0.954,0.253,0.273,7.91
2023-01-02 04:00:00,5.7,402.83,1.298,1,2.3,15.6,32.12,27.11,0.775,1.42,1.4,-1.41
2023-01-02 05:00:00,17.19,192.91,0.917,5,11.0,37.56,38.14,25.68,0.176,0.825,0.877,6.3
2023-01-02 06:00:00,10.61,537.35,0.932,3,0.01,44.45,8.52,67.17,0.659,0.352,0.344,-2.27
2023-01-02 07:00:00,6.09,542.63,0.69,5,8.94,10.7,10.45,56.29,0.191,1.738,1.86,7.02
2023-01-02 08:00:00,4.68,213.51,1.548,4,13.74,34.47,38.6,52.06,0.91,1.267,1.302,2.76
2023-01-02 09:00:00,12.94,176.5,1.879,7,4.32,18.85,6.32,17.09,0.701,0.774,0.718,-7.24
2023-01-02 10:00:00,16.92,276.22,1.887,7,2.78,11.42,39.22,64.12,1.149,0.158,0.163,3.16
2023-01-02 11:00:00,15.91,182.29,0.432,6,9.78,24.1,5.16,58.81,0.301,1.121,1.052,-6.16
2023-01-02 12:00:00,4.01,419.81,1.762,5,10.69,42.73,35.58,15.64,0.767,1.854,1.821,-1.78
2023-01-02 13:00:00,6.49,504.34,1.501,5,10.32,10.41,15.76,61.63,0.333,1.233,1.152,-6.57
2023-01-02 14:00:00,5.61,420.2,0.58,7,4.79,30.58,37.85,22.7,0.775,1.946,1.76,-9.56
2023-01-02 15:00:00,7.19,503.39,0.228,6,3.78,27.55,16.09,10.26,0.895,0.359,0.338,-5.85
2023-01-02 16:00:00,14.76,268.35,0.609,4,14.34,40.57,27.9,47.69,0.895,1.18,1.189,0.76
2023-01-02 17:00:00,20.51,135.97,1.833,2,13.85,12.94,7.8,47.5,0.997,1.616,1.61,-0.37
2023-01-02 18:00:00,10.89,455.87,1.303,5,6.86,33.85,13.48,11.17,1.039,1.099,1.099,0.0
2023-01-02 19:00:00,4.82,248.26,1.47,7,12.69,33.8,32.08,25.73,0.185,0.273,0.259,-5.13
2023-01-02 20:00:00,8.1,419.2,0.589,1,6.78,33.42,23.5,69.53,0.478,1.207,1.252,3.73
2023-01-02 21:00:00,23.06,198.85,1.467,5,6.37,42.98,37.48,49.1,0.856,1.262,1.314,4.12
2023-01-02 22:00:00,8.91,94.68,0.153,1,2.35,38.81,20.01,52.45,0.648,1.485,1.443,-2.83
2023-01-02 23:00:00,6.55,595.92,0.813,4,6.4,11.47,35.44,18.84,0.31,1.546,1.664,7.63
2023-01-03 00:00:00,6.99,135.91,1.291,5,8.06,26.49,20.71,10.12,0.708,1.564,1.609,2.88
2023-01-03 01:00:00,10.86,593.63,0.378,7,0.34,23.93,39.27,23.0,0.548,1.361,1.419,4.26
2023-01-03 02:00:00,4.13,587.5,1.664,4,6.66,20.86,38.59,21.18,0.529,0.51,0.487,-4.51
2023-01-03 03:00:00,5.5,486.6,0.547,4,11.72,25.8,16.52,20.25,0.991,0.868,0.781,-10.02
2023-01-03 04:00:00,15.75,412.68,1.339,2,10.2,23.45,36.01,17.53,0.548,1.575,1.69,7.3
2023-01-03 05:00:00,10.64,367.79,0.87,5,9.53,25.13,34.67,42.36,0.129,1.912,2.035,6.43
2023-01-03 06:00:00,8.98,526.36,1.232,1,13.64,44.27,12.37,26.33,0.164,0.25,0.231,-7.6
2023-01-03 07:00:00,16.28,209.19,0.304,1,0.27,13.1,26.85,58.32,1.042,1.118,1.09,-2.5
2023-01-03 08:00:00,4.57,307.22,0.132,5,8.36,42.28,7.54,16.96,1.157,0.694,0.716,3.17
2023-01-03 09:00:00,6.39,390.66,1.828,6,11.81,26.81,34.28,35.2,0.857,0.528,0.544,3.03
2023-01-03 10:00:00,10.39,276.15,0.612,2,8.12,31.83,11.11,5.89,0.501,1.061,1.137,7.16
2023-01-03 11:00:00,10.13,285.12,1.657,2,4.86,39.06,7.48,36.31,1.132,1.252,1.162,-7.19
2023-01-03 12:00:00,2.13,231.66,1.999,2,2.04,22.62,19.01,8.63,0.829,0.119,0.117,-1.68
2023-01-03 13:00:00,5.9,360.33,0.502,1,13.31,25.06,25.19,68.55,1.029,1.582,1.455,-8.03
2023-01-03 14:00:00,7.33,517.82,0.604,4,7.06,24.33,34.92,56.39,0.942,1.658,1.621,-2.23
2023-01-03 15:00:00,11.22,160.84,1.359,7,13.17,23.12,39.1,36.86,0.517,1.934,1.746,-9.72
2023-01-03 16:00:00,10.11,563.94,1.934,6,8.79,42.39,20.38,10.63,0.627,0.443,0.478,7.9
2023-01-03 17:00:00,7.86,429.0,1.84,2,10.11,39.01,7.12,43.51,0.305,1.23,1.237,0.57
2023-01-03 18:00:00,1.07,502.8,1.055,1,12.06,13.81,31.22,54.32,0.421,0.911,0.975,7.03
2023-01-03 19:00:00,8.16,355.9,1.611,1,9.89,13.78,24.78,17.4,0.956,0.736,0.671,-8.83
2023-01-03 20:00:00,8.73,478.73,0.358,4,5.97,24.98,20.68,41.93,1.083,1.175,1.111,-5.45
2023-01-03 21:00:00,36.49,58.91,1.957,5,7.7,13.45,15.82,57.92,0.897,1.587,1.511,-4.79
2023-01-03 22:00:00,7.15,500.11,1.932,5,12.05,31.67,22.58,54.94,0.612,0.144,0.141,-2.08
2023-01-03 23:00:00,10.44,72.08,0.411,7,5.6,15.03,16.85,57.19,0.195,1.942,2.06,6.08
2023-01-04 00:00:00,18.1,539.45,0.669,7,5.82,28.28,31.5,62.16,0.163,1.639,1.602,-2.26
2023-01-04 01:00:00,14.19,595.58,0.29,2,1.44,10.25,24.04,65.95,0.512,1.527,1.437,-5.89
2023-01-04 02:00:00,21.06,211.74,0.616,7,13.72,21.08,35.69,31.36,0.61,1.545,1.411,-8.67
2023-01-04 03:00:00,2.16,165.68,1.65,2,1.37,33.7,24.02,41.97,0.77,0.839,0.768,-8.46
2023-01-04 04:00:00,3.44,470.95,0.819,6,9.72,26.94,13.34,56.39,0.107,1.528,1.607,5.17
2023-01-04 05:00:00,5.19,189.16,0.268,7,6.2,44.24,34.79,50.31,1.189,0.835,0.826,-1.08
2023-01-04 06:00:00,1.8,526.06,0.75,4,6.08,40.59,24.5,69.71,0.5,1.808,1.89,4.54
2023-01-04 07:00:00,8.78,106.56,1.965,2,10.19,22.57,12.24,5.89,1.033,0.437,0.453,3.66
2023-01-04 08:00:00,3.7,119.28,1.296,4,1.01,11.59,26.82,28.08,0.688,0.655,0.607,-7.33
2023-01-04 09:00:00,22.88,588.53,0.891,1,8.91,39.6,17.52,23.27,0.243,1.148,1.066,-7.14
2023-01-04 10:00:00,4.23,420.61,0.416,2,11.58,41.89,34.55,22.05,0.977,0.707,0.743,5.09
2023-01-04 11:00:00,6.42,515.79,1.974,1,12.42,38.72,20.87,19.46,0.881,0.906,0.946,4.42
2023-01-04 12:00:00,14.76,228.38,1.66,3,2.56,14.48,30.43,51.09,0.68,1.036,1.011,-2.41
